sentence,ic,ner
mk dang chat voi ng hay chatbot the,ask_is_bot,O O O O O O O O
co phai bot khong,ask_is_bot,O O O O
sh oi nvien hay bot vay,ask_is_bot,O O O O O O
la ng hay bot the,ask_is_bot,O O O O O
shop oi nguoi hay bot the ah,ask_is_bot,O O O O O O O
người hay bot th,ask_is_bot,O O O O
tự động trả lời à,ask_is_bot,O O O O O
auto reply,ask_is_bot,O O
đang chat với bot hay ng th,ask_is_bot,O O O O O O O
shop oi bot tu dong a,ask_is_bot,O O O O O O
người hay chatbot,ask_is_bot,O O O
ng hay bot,ask_is_bot,O O O
shop dùng chatbot à,ask_is_bot,O O O O
auto tra loi,ask_is_bot,O O O
bot à sh ơi,ask_is_bot,O O O O
bot hay người,ask_is_bot,O O O
người hay máy vậy shop,ask_is_bot,O O O O O
auto trả lời,ask_is_bot,O O O
nhan vien shop hay gi the,ask_is_bot,O O O O O O
chatbot a sh ơi,ask_is_bot,O O O O
shop oi nhan vien hay chatbot vay,ask_is_bot,O O O O O O O
có phải ng không,ask_is_bot,O O O O
người hay bot,ask_is_bot,O O O
bot ạ,ask_is_bot,O O
shop oi chatbot hay nhan vien vay ah,ask_is_bot,O O O O O O O O
co phai ng khong,ask_is_bot,O O O O
shop oi chatbot hay nvien vậy ah,ask_is_bot,O O O O O O O
sh ơi bot à,ask_is_bot,O O O O
có phải bot ko,ask_is_bot,O O O O
auto tra loi ha shop,ask_is_bot,O O O O O
co phai chatbot ko,ask_is_bot,O O O O
shop dung bot ah,ask_is_bot,O O O O
có phải ng ko,ask_is_bot,O O O O
auto rep à shop,ask_is_bot,O O O O
tự động trả lời à shop ơi,ask_is_bot,O O O O O O O
chatbot hay nhan vien vay,ask_is_bot,O O O O O
shop để trả lời tự động à,ask_is_bot,O O O O O O O
chatbot hay nhân viên vậy,ask_is_bot,O O O O O
nguoi hay may vay shop,ask_is_bot,O O O O O
có phải chatbot ko,ask_is_bot,O O O O
chatbot a,ask_is_bot,O O
co phai bot ko,ask_is_bot,O O O O
co phai nguoi khong,ask_is_bot,O O O O
chatbot à,ask_is_bot,O O
ng hay bot vậy shop,ask_is_bot,O O O O O
tự động trả lời à shop,ask_is_bot,O O O O O O
chatbot hay nguoi vay shop,ask_is_bot,O O O O O
shop dùng bot à,ask_is_bot,O O O O
mk đag chat voi ng hay bot the,ask_is_bot,O O O O O O O O
auto tra loi ah,ask_is_bot,O O O O
mình đang chat với người hay chatbot th,ask_is_bot,O O O O O O O O
chat voi nguoi hay chatbot vay,ask_is_bot,O O O O O O
shop de auto tra loi à,ask_is_bot,O O O O O O
người hay chatbot th ạ,ask_is_bot,O O O O O
auto rep à sh,ask_is_bot,O O O O
bot hay nvien,ask_is_bot,O O O
bot tự động à,ask_is_bot,O O O O
auto reply a shop oi,ask_is_bot,O O O O O
shop đang dùng bot à,ask_is_bot,O O O O O
chatbot hay ng,ask_is_bot,O O O
bot hay ng,ask_is_bot,O O O
tra loi tu dong a shop,ask_is_bot,O O O O O O
sh ơi chatbot hay nhân viên vậy,ask_is_bot,O O O O O O O
nhân viên hay bot,ask_is_bot,O O O O
shop đang dùng chatbot ạ,ask_is_bot,O O O O O
may hay nguoi vay shop,ask_is_bot,O O O O O
bot a shop oi,ask_is_bot,O O O O
la nguoi hay bot the,ask_is_bot,O O O O O
auto reply à,ask_is_bot,O O O
shop ơi nhân viên hay chatbot vậy,ask_is_bot,O O O O O O O
minh dang chat voi nguoi hay chatbot the,ask_is_bot,O O O O O O O O
shop ơi bot à,ask_is_bot,O O O O
tu dong tra loi a shop,ask_is_bot,O O O O O O
mk dang chat với ng hay chatbot th,ask_is_bot,O O O O O O O O
shop dùng bot ạ,ask_is_bot,O O O O
co phai ng ko,ask_is_bot,O O O O
chatbot hay người,ask_is_bot,O O O
shop oi bot tự động à,ask_is_bot,O O O O O O
bot hay nvien vậy,ask_is_bot,O O O O
chatbot hả,ask_is_bot,O O
shop ơi bot hay nhân viên vậy ạ,ask_is_bot,O O O O O O O O
nvien hay bot vay,ask_is_bot,O O O O
shop ơi chatbot hay nhân viên vậy ạ,ask_is_bot,O O O O O O O O
chatbot hay nguoi,ask_is_bot,O O O
nhân viên hay chatbot vậy,ask_is_bot,O O O O O
trả lời tự động à shop,ask_is_bot,O O O O O O
shop ơi người hay chatbot thế ạ,ask_is_bot,O O O O O O O
chatbot,ask_is_bot,O
nhan vien hay chatbot vay,ask_is_bot,O O O O O
ng hay chatbot thế ạ,ask_is_bot,O O O O O
shop ơi ng hay bot thế ạ,ask_is_bot,O O O O O O O
bot a,ask_is_bot,O O
bot hay nhân viên,ask_is_bot,O O O O
bot ah shop oi,ask_is_bot,O O O O
shop oi chatbot tu dong a,ask_is_bot,O O O O O O
shop sử dụng bot à,ask_is_bot,O O O O O
la chatbot hay nguoi the,ask_is_bot,O O O O O
shop oi auto tra loi a,ask_is_bot,O O O O O O
shop dùng chatbot ạ,ask_is_bot,O O O O
tu dong tra loi a,ask_is_bot,O O O O O
dang chat voi chatbot hay nguoi the,ask_is_bot,O O O O O O O
tu dong tra loi a shop oi,ask_is_bot,O O O O O O O
shop oi chatbot ah,ask_is_bot,O O O O
shop dang dung chatbot a,ask_is_bot,O O O O O
máy hay ng vậy shop,ask_is_bot,O O O O O
chatbot hay nhân viên,ask_is_bot,O O O O
người hay chatbot vậy shop,ask_is_bot,O O O O O
chat bot hay nhan vien,ask_is_bot,O O O O O
shop oi nguoi hay chatbot the ah,ask_is_bot,O O O O O O O
chatbot hay người thế,ask_is_bot,O O O O
shop ơi người hay bot th ạ,ask_is_bot,O O O O O O O
có phải bot không shop,ask_is_bot,O O O O O
bot hay nhan vien,ask_is_bot,O O O O
shop su dung bot ah,ask_is_bot,O O O O O
tự động trả lời,ask_is_bot,O O O O
chatbot ạ,ask_is_bot,O O
shop để auto trả lời à,ask_is_bot,O O O O O O
thì có sang cửa hàng khác đổi đc ko,handoff,O O O O O O O O O
bảo là chuyển khoản lại mà chưa thấy,handoff,O O O O O O O O
"dạ, em muốn hợp tác với bên mình",handoff,O O O O O O O O
hx k sale hả shop,handoff,O O O O O
961512868,handoff,O
mình muốn mua nhưng nhà ở xã.,handoff,O O O O O O O
"bạn ơi, mình có comment đơn trong live stream. bạn xem bên mình đã chốt những sp nào cho mình để mình ck nhé",handoff,O O O O O O O O O O O O O O O O O O O O O O O O
trên web ghi sale 50% ạ,handoff,O O O O O O
còn ctr khuyến mại k ạ,handoff,O O O O O O
hức thế mà e ko tư vấn cho chị,handoff,O O O O O O O O O
"chào shop, hôm nay mình qua lotte thì thấy đã bị đóng cửa rồi. giờ mình có thể qua chỗ khác lấy ko?",handoff,O O O O O O B-inform#location O O O O O O O O O O O O O O O O
không gọi được nhé bạn,handoff,O O O O O
"bên mình có bán [mũ]{""entity"": ""inform#object_type"", ""value"": ""mu""} riêng k ạ",handoff,O O O O O O O O O O O
bên mình có nhận ship ko ạ,handoff,O O O O O O O
bạn có ảnh mẫu sẵn k ạ,handoff,O O O O O O O
"hôm c quên k nhắn lại, [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này còn sale k em thì gửi cho c với nhé",handoff,O O O O O O O O O O B-inform#mention O O O O O O O O O O
c muốn đổi 2 cái ao này đc ko,handoff,O O O O O B-inform#object_type B-inform#mention O O
ko đc giảm à,handoff,O O O O
của c là mấy món nhỉ,handoff,O O O O O O
"trường con nhà chị chỉ mặc đồng phục thứ 2,4,6 thôi",handoff,O O O O O O O O O O O
"chào bạn, mình muốn hỏi mẫu [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} tết của bé gái",handoff,O O O O O O O O O O O O O B-inform#gender I-inform#gender
"số nhà 25b ngõ 12 phố bồ đề , long biên hà nội",handoff,O O O O O O O O O B-inform#location B-inform#location I-inform#location I-inform#location
m cũng ở gần mấy cửa hàng của shop,handoff,O O O O O O O O O
mình đặt trên shopee nhưng bị hết size,handoff,O O O O O O O O
đc mua 1 tặng 1 k ạ,handoff,O O O O O O O
mình mua hàng của hãng có được tặng khẩu trang cho bé ko,handoff,O O O O O O O O B-inform#object_type I-inform#object_type O O O
bé nhà mình 13 tuổi cao 1m50 mặc đc ko shop???,handoff,O O O B-inform#age I-inform#age O B-inform#height O O O O
chị lấy cả luôn,handoff,O O O O
bị rách ở cổ và nhiều vết ố bẩn,handoff,O O O O O O O O O
"em có số đo chiều dài [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} + [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} ko cho chị xin?",handoff,O O O O O O O O O O O O O O O O O O O O
địa chỉ shop em ở đâu,handoff,O O O O O O
"feedback cho shop ảnh mấy bạn nhà mình đi chơi halowen hôm qua - khẩu trang trẻ e bên shop vẫn bán fai k, mình muốn qua mua vào ngày mai",handoff,O O O O O O O O O O O O O O B-inform#object_type I-inform#object_type O O O O O O O O O O O O O O O
"shop co [quần jeans]{""entity"": ""inform#object_type"", ""value"": ""quan""} cho bé 6 tuổi màu trắng ko",handoff,O O O O O O O O O B-inform#age I-inform#age B-inform#color I-inform#color O
"[sét]{""entity"": ""inform#object_type"", ""value"": ""set""} có bán rời ko ah",handoff,O O O O O O O O O
"mình muốn mua gấu bông teddy, không biết bên shop mình còn mặt hàng này ko ạ?",handoff,O O O O O O O O O O O O O B-inform#mention I-inform#mention O O
"hôm đó máy hỏng nên k in được hóa đơn, nhưng tớ có ck cho bên bạn",handoff,O O O O O O O O O O O O O O O O O
tắt live rồi hà c,handoff,O O O O O
shop ơi cho e hỏi địa chỉ chỗ linh đàm ạ,handoff,O O O O O O O O B-inform#location I-inform#location O
"có [áo phao]{""entity"": ""inform#object_type"", ""value"": ""ao_phao""} nua ko b",handoff,O O O O O O O O O
nhớ gửi đúng size giúp c nhé. hai bộ size 14 gửi nhầm bé k mặc được mắc công c đổi nhé,handoff,O O O O O O O O O O O O O O O O O O O O O O
chất vải gì vậy b?,handoff,O O O O O
m đặt này ko biết ok chưa,handoff,O O B-inform#mention O O O O
đặt qua web đc ko ah,handoff,O O O O O O
gửi ảnh giúp tớ với,handoff,O O O O O
tư vấn giúp e phí nhượng quyền thương hiệu bên mình a,handoff,O O O O O O O O O O O O
"bên m có [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} riêng ko?",handoff,O O O O O O O O O
em ơi c vào shopee thấy tb nghỉ bán,handoff,O O O O O O O O O
"shop có mẫu quần dài thô cạp chun cho bé trai 1m30 , 35khmg",handoff,O O O B-inform#object_type I-inform#object_type B-inform#material O O O O O B-inform#height O B-inform#weight
bên bạn có bán online nhận hàng tại trần đăng ninh k?,handoff,O O O O O O O O B-inform#location I-inform#location I-inform#location O
mình thấy trên web vẫn có mà,handoff,O O O O O O O
b oi check lại live giúp t \nt commen đầu ma toan k dc chốt đơn,handoff,O O O O O O O O O O O O O O O O
"c mua đồ bị giao [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} rách mà liên hệ mãi chẳng có ai phản hồi xử lý giúp c",handoff,O O O O O O O O O O O O O O O O O O O O O O O
vì mình k dùng shopee,handoff,O O O O O
"mình muốn mua cả [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} và bộ cộc tay đều giảm 50% thì đặt kiểu gì",handoff,O O O O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O O O O O O
sdt: 0344014223,handoff,O O
mặc đi học được ah,handoff,O O O O O
bên m còn khẩu trang ko ạ,handoff,O O O O O O O
969861059,handoff,O
"cho m hỏi m mua [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} cho bé qua shopee nhưng hơi kích, m có thể đổi cho bé ở cửa hàng gần nhất dc ko",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
trang web ko thấy update sp nhỉ,handoff,O O O O O O O
bao giờ k closet phát khẩu trang từ chương trình minigame trên báo dân trí vậy ad,handoff,O O O O O B-inform#object_type I-inform#object_type O O O O O O O O O O
"e cho chị lấy [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này hôm trước chị đặt nha",handoff,O O O O O O O O B-inform#mention O O O O O
984924418,handoff,O
va bgio minh nhân dc hàng,handoff,O O O O O O
mai ship giúp mình về 34c tt18 văn quán đc ko,handoff,O O O O O O O B-inform#location I-inform#location O O
mình có nt nhưg chưa thấy phản hồi,handoff,O O O O O O O O
"bên b có [quần bò]{""entity"": ""inform#object_type"", ""value"": ""quan""} bé gái 10y k",handoff,O O O O O O O O B-inform#gender I-inform#gender B-inform#age O
giờ có đổi đc k shop,handoff,O O O O O O
mà 9 tuổi là khoảng bao cân mặc dc ạ.,handoff,O B-inform#age I-inform#age O O O O O O O
"[quần kaki jogger]{""entity"": ""inform#object_type"", ""value"": ""quan""} bé trai k211nif màu be cửa hàng khu vực hà đông , thanh xuân còn ko em?",handoff,O O O O O O B-inform#gender I-inform#gender O B-inform#color I-inform#color O O O O B-inform#location I-inform#location O B-inform#location I-inform#location O O O
"nhà mình còn [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này ko ạ",handoff,O O O O O O O B-inform#mention O O
"ship cho c [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} cướp biển sz cho bé 8y cao m35 nặng 25kg đến 195 khâm thiên nhé 0904509909",handoff,O O O O O O O O O O O O B-inform#age O B-inform#height O B-inform#weight O B-inform#location I-inform#location I-inform#location O O
mà sao bên bạn trl chậm thế ạ?,handoff,O O O O O O O O
đắt nhỉ,handoff,O O
cho mình xem mặt trong với,handoff,O O O O O O
"[áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} cho bé chỉ sale shopee thôi ah",handoff,O O O O O O O O O O O O
"cho mình hỏi [áo đồng phục]{""entity"": ""inform#object_type"", ""value"": ""ao""} này còn ko",handoff,O O O O O O O O O B-inform#mention O O
mình ko xem được sp trên website,handoff,O O O O O O O
cửa hàng lạc trung còn không shop ơi?,handoff,O O B-inform#location I-inform#location O O O O
shopee mấy ngày nữa mới ship đến,handoff,O O O O O O O
"ship cho m đến đc ct7d khu chung cư the sparks dương nội, hà đông, hà nội nhé. sđt 0904913299",handoff,O O O O O O O O O O O O O B-inform#location I-inform#location B-inform#location I-inform#location O O O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} đợt này có giảm k e",handoff,O O O O O O O O O O
"gửi giúp mình [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này size 8 tuổi về địa chỉ . đỗ thị việt hà. bảo hiểm xã hội thành phố phúc yên. trưng trắc - phúc yên - vĩnh phúc. 0966479889",handoff,O O O O O O O B-inform#mention O B-inform#age I-inform#age O O O O O O O O O O O O O O O O O O O O O O B-inform#location I-inform#location O
946232737,handoff,O
2010138sr73ygb,handoff,O
cho mình hỏi khẩu trang cho bé dưới 4 tuổi hiện còn màu gì ạ,handoff,O O O O O O O O B-inform#age I-inform#age O O O O O
hàng có sẵn ko m qua xem rồi mua được ko,handoff,O O O O O O O O O O O
"cho mình hỏi, đc đổi size trog mấy ngày vậy bạn?",handoff,O O O O O O O O O O O
c thì dùng size j đc em nhi,handoff,O O O O O O O O
ko ship dc ha shop,handoff,O O O O O
ship cho mình lotte đào tấn,handoff,O O O O B-inform#location I-inform#location
986953324,handoff,O
bạn đã bỏ lỡ lần chat video với hiên.,handoff,O O O O O O O O O
mình ra trần đăng ninh đều hết size,handoff,O O B-inform#location I-inform#location I-inform#location O O O
link bị loi e oi,handoff,O O O O O
"chào shop. mình mua hàng ở chi nhánh hàng tiện nam định mua [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} bò thì về giặt có hiện tượng phai màu và trong lúc mặc thì sợi bông phai ra cánh tay, cổ người bé rất khó chiuh",handoff,O O O O O O O O O O B-inform#location I-inform#location O O O O O O O O O O O O O O O O O O O B-inform#material I-inform#material O O O O O O O O O O
sz3 còn ở hn k ạ,handoff,O O O B-inform#location O O
ở từ sơn có chưa ad,handoff,O B-inform#location I-inform#location O O O
đặt hàng trên shopee bị hết hàng ấy,handoff,O O O O O O O O
"minh đang bán thiết bị y tê\nmáy huyêt ap, khí rung và máy đo nhiệt kế điện tử, máy lọc không khí...",handoff,O O O O O O O O O O O O O O O O O O O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} tính riêng [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} tính riêng à e",handoff,O O O O O O O O O O O O O O
e ơi bên mình đang có chương trình mua 1 tặng 1 ag,handoff,O O O O O O O O O O O O O
0396684272 cháu minh anh 5 tuổi,handoff,O O O O B-inform#age I-inform#age
just inquiring on your face shield that i saw in one of sm baliuag employee,handoff,O O O O O O O O O O O O O O O
bé cao 95cm sợ bé ko em,handoff,O O B-inform#height O O O O
địa chỉ ở linh đàm bên bạn là chỗ nào nhỉ,handoff,O O O B-inform#location I-inform#location O O O O O O
"gửi về tòa golden west, số 2 lê văn thiêm, thanh xuân, hà nội, ms mai 0983775586",handoff,O O O O O O O O O O B-inform#location I-inform#location B-inform#location I-inform#location O O O
hôm qua mình có dc chôt đơn hàng trên livetream,handoff,O O O O O O O O O O
hoặc không vừa đổi như thế nào,handoff,O O O O O O O
chất vải gì đó ạ,handoff,O O O O O
chất liệu gì vậy shop,handoff,O O O O O
cho m xin link shopee của đồng phục hs với sao giờ m vào tìm ko thấy,handoff,O O O O O O O O O O O O O O O O O
mau nay co sale ko shop,handoff,B-inform#mention I-inform#mention O O O O
ship ship ntn ạ,handoff,O O O O
k biết bên mình đã cập nhật thời gian nhận quà chưa ?,handoff,O O O O O O O O O O O O O
còn màu nào vậy shop,handoff,O O O O O
tưởng đx giảm gái,handoff,O O O O
bạn ơi chất liệu gì vậy?,handoff,O O O O O O
"em chào anh/chị, em bên công ty truyền thông chuyên chạy quảng cáo và xây dựng page. anh chị có nhu cầu liên hệ em qua sdt, zalo 0973567541 hoặc phản hồi ib để em hỗ trợ ạ. rất mong có thể hỗ trợ được anh/chị!",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
mình đặt đơn hàng trên trang của shop được hơn 10 ngày rồi chưa thấy ship,handoff,O O O O O O O O O O O O O O O O
có người lớn k em,handoff,O O O O O
địa chỉ gần nhất long biên là đâu b nhỉ,handoff,O O O O B-inform#location I-inform#location O O O O
giờ mình nhấn vào hoàn hàng để đổi sz đc k ạ,handoff,O O O O O O O O O O O O
nhân viên của shop có gọi cho mình báo là sp k có nhưng cứ thanh toán theo đơn hàng,handoff,O O O O O O O O O O O O O O O O O O O O
ukie shop. mình ở lạc long quân thì điểm nào gần nhất shop nhỉ,handoff,O O O O B-inform#location I-inform#location I-inform#location O O O O O O O
362625555,handoff,O
cửa hàng địa chỉ ở đâu thế b,handoff,O O O O O O O O
nay chị đang cầm ra lamgs hạ đổi sz,handoff,O O O O O O O O O
còn km ko e,handoff,O O O O
chị tìm trên shoppe thấy hết cỡ,handoff,O O O O O O O
m muon hỏi mẫu áo phao,handoff,O O O O B-inform#object_type I-inform#object_type
shop cho m xin địa chỉ cụ thể cửa hàng ở nguyễn trãi với thái hà đc ko ạ. m tìm thử nhưng ko thấy ạ,handoff,O O O O O O O O O O O B-inform#location I-inform#location O B-inform#location I-inform#location O O O O O O O O O O
bé nhà m 9 t 25 kg có vừa ko ạ,handoff,O O O B-inform#age I-inform#age B-inform#weight I-inform#weight O O O O
50% toàn bộ sp hay ntn shop,handoff,O O O O O O O
mình tên hương,handoff,O O O
bjo mình k có ship ạ,handoff,O O O O O O
mà hơi rộng cho mình đổi lại size nhỏ hơn được ko ạ,handoff,O O O O O O O O O O O O O
có bán tren web hay shoppe ko em nhỉ,handoff,O O O O O O O O O
đăng ký nhận khẩu trang nhé thế nào vậy shop,handoff,O O O B-inform#object_type I-inform#object_type O O O O O
mình vào link hệ thống cửa hàng mà ko thấy địa chỉ,handoff,O O O O O O O O O O O O
bên mk còn mẫu này k ạ,handoff,O O O B-inform#mention I-inform#mention O O
"có, lát tính cả phí ship cho c nhé",handoff,O O O O O O O O O
